druid	sourceId	lo:purl	ti1:title	na1:namePart	na1:usage	ty1:typeOfResource	ge1:genre	ge1:authority	ge1:authorityURI	ge2:genre	ge2:authority	ge2:authorityURI	dt:dateIssued	dt:dateIssuedKeyDate	dt:dateIssuedEncoding	dt:dateIssuedQualifier	dt:dateIssuedPoint	dt:dateIssued2	dt:dateIssued2Qualifier	dt:dateIssued2Point	or:eventType	pl:placeText	ph1:form	ph1:formAuthority	ph1:formAuthorityURI	ph1:formValueURI	ph1:extent	ph1:digitalOrigin	ph1:internetMediaType	no1:note	no2:note	no3:note	no4:note	no4:type	no4:displayLabel	no5:note	su1:authority	su1:authorityURI	su1:valueURI	su1:p1:type	su1:p1:value	su1:p1:authority	su1:p1:authorityURI	su1:p1:valueURI	su1:p2:type	su1:p2:value	su1:p2:authority	su1:p2:authorityURI	su1:p2:valueURI	su1:p3:type	su1:p3:value	su1:p3:authority	su1:p3:authorityURI	su1:p3:valueURI	su1:p4:type	su1:p4:value	su1:p4:authority	su1:p4:authorityURI	su1:p4:valueURI	su1:p5:type	su1:p5:value	su1:p5:authority	su1:p5:authorityURI	su1:p5:valueURI	su2:authority	su2:authorityURI	su2:valueURI	su2:p1:type	su2:p1:value	su2:p1:authority	su2:p1:authorityURI	su2:p1:valueURI	su2:p2:type	su2:p2:value	su2:p2:authority	su2:p2:authorityURI	su2:p2:valueURI	su2:p3:type	su2:p3:value	su2:p3:authority	su2:p3:authorityURI	su2:p3:valueURI	su2:p4:type	su2:p4:value	su2:p4:authority	su2:p4:authorityURI	su2:p4:valueURI	su2:p5:type	su2:p5:value	su2:p5:authority	su2:p5:authorityURI	su2:p5:valueURI	su3:authority	su3:authorityURI	su3:valueURI	su3:p1:type	su3:p1:value	su3:p1:authority	su3:p1:authorityURI	su3:p1:valueURI	su3:p2:type	su3:p2:value	su3:p2:authority	su3:p2:authorityURI	su3:p2:valueURI	su3:p3:type	su3:p3:value	su3:p3:authority	su3:p3:authorityURI	su3:p3:valueURI	su3:p4:type	su3:p4:value	su3:p4:authority	su3:p4:authorityURI	su3:p4:valueURI	su3:p5:type	su3:p5:value	su3:p5:authority	su3:p5:authorityURI	su3:p5:valueURI	su4:authority	su4:authorityURI	su4:valueURI	su4:p1:type	su4:p1:value	su4:p1:authority	su4:p1:authorityURI	su4:p1:valueURI	su4:p2:type	su4:p2:value	su4:p2:authority	su4:p2:authorityURI	su4:p2:valueURI	su4:p3:type	su4:p3:value	su4:p3:authority	su4:p3:authorityURI	su4:p3:valueURI	su4:p4:type	su4:p4:value	su4:p4:authority	su4:p4:authorityURI	su4:p4:valueURI	su4:p5:type	su4:p5:value	su4:p5:authority	su4:p5:authorityURI	su4:p5:valueURI	su5:authority	su5:authorityURI	su5:valueURI	su5:p1:type	su5:p1:value	su5:p1:authority	su5:p1:authorityURI	su5:p1:valueURI	su5:p2:type	su5:p2:value	su5:p2:authority	su5:p2:authorityURI	su5:p2:valueURI	su5:p3:type	su5:p3:value	su5:p3:authority	su5:p3:authorityURI	su5:p3:valueURI	su5:p4:type	su5:p4:value	su5:p4:authority	su5:p4:authorityURI	su5:p4:valueURI	su5:p5:type	su5:p5:value	su5:p5:authority	su5:p5:authorityURI	su5:p5:valueURI	sc1:scale	id1:identifier	ri1:type	ri1:displayLabel	ri1:title	ri1:url	rc:languageOfCataloging	rc:languageOfCatalogingTerm	rc:langAuthority	rc:langAuthorityURI	rc:langValueURI	rc:contentSource	rc:contentSourceAuthority	rc:contentSourceAuthorityURI	rc:contentSourceValueURI	rc:recordOrigin	
			Croquie de la Reconnaissance faite entre Le Po et le Lizonzo Par Le Colonel Sorbier	Sorbier	primary	cartographic	Map	marcgt	http://id.loc.gov/vocabulary/genreFormSchemes/marcgt				1806 ca	yes	w3cdtf						publication	Venice	cartographic image	rdacontent	http://id.loc.gov/vocabulary/contentTypes	http://id.loc.gov/vocabulary/contentTypes/cri	1 map : hand colored ; 114.5 x 48.5 in	reformatted digital	image/jpeg	Extraordinary manuscript reconassaince map of the area around Venice, extending from San Canzian d'Isonzo and the mouth of the Isonzo River to Isola di Polensine and the mouth of the Po River. This remarkable reconaissance map covers an area of approximately 100 miles along the Upper Gulf of Venice, showing the topographical features of the region, along with military and civilian details, during the period immediately after the Treaty of Pressberg (December 26, 1805) transferred control of the Venetian States from Austria to Napoleon's Empire. The map includes a detailed key, identifying approximately 50 key military locations. The map was drawn by or under the direction of Colonel Jean Joseph Augustin Sorbier (1774-1809), Aide-de-Camp to Eugene de Beauharnais, Prince of the Empire and step-son of Napoleon Bonaparte, and commander of Napoleon's forces in Italy. The map was almost certainly drawn in 1806, prior to Sorbier's being dispatched by Napoleon and Beauharnais on a misson to Constantinople in the Spring of 1807, during which time Sorbier met with Sultan Selim III, (Sultan of the Ottoman Empire, 1789-1807) and Hilmi Ibrahim Pasha (Ottoman Grand Vizier (1806 -1807), in an attempt to persuade the Ottoman Empire to align with Napoleon and against Russia and England. Based upon evidence on the map and biographical information regarding Beauharnais and Sorbier, it would appear that the map was drawn in or about May 1806, during the period when Sorbier was serving as Aide-de-Campe for Beauharnais (1804-1807), subsquent to the Treaty of Pressberg (December 26, 1805) and prior to Sorbier's emabassy to Constantinople in the Spring of 1807. Correspondence between Beauharnais, Napoleon and Sorbier in May 1806 suggests that Sorbier may have been engaged in a reconnaissance of the Venetian Coastline during this time period and at least one Austrian fort, constructed in 1804, is identified by date. Sorbier is identified as "Le colonel aide de camp de S. A. I. . . ." S.A.I. is the abbreviation for Son Altesse Imperial. Napoleon was crowned Emporer on December 2, 1804. Eugéne de Beauharnais (1781-1824) was Napoleon's step-son, who spent much of his career as Viceroy of Italy. He was the son of General Alexandre de Beauharnais and Josephine Tascher de la Pagerie, the future Empress Josephine. His father had briefly commanded the Army of the Rhine during the revolution, but in June 1794 he was guillotined for failing to raise the siege of Mainz. Beauharnais first met Napoleon in the following year when requesting the return of his father’s sword. In 1796, Napoleon married Josephine. At first ,Beauharnais was opposed to the marriage, but was soon won over and his career would greatly benefit from his connection to Napoleon. Napoléon took a strong liking to Beauharnais, and tried to be a father for him. Beauharnais’s active military career began with Napoleon’s invasion of Egypt of 1798, where he served as of Napoleon’s aides, and was wounded during the siege of Acre. On November 9, 1799, Napoleon took power of France after the military coup of Brumaire. Beauharnais was promoted to command a brigade of the Guards, fighting with distinction at the Battle of Marengo on June 6, 1800, where Napoleon defeated the Austrian Army in Allesandria (Piedmonte), Italy. Beauharnais was made a Colonel in 1802. When Napoleon became Emporer in 1804, Beauharnais was promoted to General and made Arch-Chancellor of State, prince of the Empire with style of Most Serene Highness. On June 7, 1805, Beauharnais was made Viceroy of the Kingdom of Italy, a position which he held until the end of Napoleon's Kingdom in 1814. Jean Joseph Augustin Sorbier (1774-1809), served with distinction in the French Army for a number of years, before his death in May, 1809. He was named Chef de Brigade on January 6, 1801, Officer of the Legion d'Honeeur on June 14, 1804 and General de Brigade on December 19, 1807. Sorbier was still signing his correspondence as "aide-de-camp" in May of 1807, as reflected in correspondence from Sorbier to Beauharnais, during which time Soriber was sent on a mission to Constantinople in the Spring of 1807 on behalf of Napoleon, wherein Sorbier sought to strengthen France's relationship with Sultan Selim III and his Grand Vizier as a French ally against Russia and England and to encourage the Ottoman Empire to attack Russia (May 6, 1807 letter from Sorbier to Beauharnias from Travnik). During this same time period, French engineers were dispatched to strengthen the shore defenses around Constantinople against possible attacks by the English, led by Admiral Duckworth. Colonel Sorbier apparently served as aide-de-campe and commander of artillery for Beauharnais from 1804 until his dispatch on his mission to Constantinople and was shortly thereafter promoted to General. Sorbier died of wounds suffered in battle in 1809. For additional images, please see the following links: Upper Left: http://www.raremaps.com/gallery/enlarge/25277a Upper Center: http://www.raremaps.com/gallery/enlarge/25277b Upper Right: http://www.raremaps.com/gallery/enlarge/25277c Lower Left: http://www.raremaps.com/gallery/enlarge/25277d Lower Center: http://www.raremaps.com/gallery/enlarge/25277e Lower Right: http://www.raremaps.com/gallery/enlarge/25277f	Map shows Italy.	Stanford copy: Pen & Ink on waxed cloth. The overall sheet has been stitched together from a series of smaller sheets. Some foxing and soiling, as shown. Housed in original chemise and slip case with printed title on spine.				Dimensions given in inches.	lcsh	http://id.loc.gov/authorities/subjects		geographic	Europe	lcsh	http://id.loc.gov/authorities/subjects	http://id.loc.gov/authorities/subjects/sh85045631	genre	Maps	lcsh	http://id.loc.gov/authorities/subjects	http://id.loc.gov/authorities/subjects/sh99001269																lcsh	http://id.loc.gov/authorities/subjects		geographic	Italy	naf	http://id.loc.gov/authorities/names	http://id.loc.gov/authorities/names/n79021783	genre	Maps	lcsh	http://id.loc.gov/authorities/subjects	http://id.loc.gov/authorities/subjects/sh99001269																																																																																																				Scale not determined		Other version	Available online	www.raremaps.com	http://www.raremaps.com/maps/large/25277.jpg	eng	English	marclanguage	http://id.loc.gov/vocabulary/languages	http://id.loc.gov/vocabulary/languages/eng	CSt	marcorg	http://id.loc.gov/vocabulary/organizations	http://id.loc.gov/vocabulary/organizations/cst	human prepared	
			Decorative Scene featuring Pope Innocent XI (No title)	Mallet	primary	cartographic	Map	marcgt	http://id.loc.gov/vocabulary/genreFormSchemes/marcgt				1683	yes	w3cdtf						publication	Paris	cartographic image	rdacontent	http://id.loc.gov/vocabulary/contentTypes	http://id.loc.gov/vocabulary/contentTypes/cri	1 map : uncolored ; 6 x 4.5 in	reformatted digital	image/jpeg	A detailed and attractive piece featuring a portrait of Pope Innocent XI.	Map shows Italy.					Dimensions given in inches.	lcsh	http://id.loc.gov/authorities/subjects		geographic	Europe	lcsh	http://id.loc.gov/authorities/subjects	http://id.loc.gov/authorities/subjects/sh85045631	genre	Maps	lcsh	http://id.loc.gov/authorities/subjects	http://id.loc.gov/authorities/subjects/sh99001269																lcsh	http://id.loc.gov/authorities/subjects		geographic	Italy	naf	http://id.loc.gov/authorities/names	http://id.loc.gov/authorities/names/n79021783	genre	Maps	lcsh	http://id.loc.gov/authorities/subjects	http://id.loc.gov/authorities/subjects/sh99001269																																																																																																				Scale not determined		Other version	Available online	www.raremaps.com	http://www.raremaps.com/maps/large/3831.jpg	eng	English	marclanguage	http://id.loc.gov/vocabulary/languages	http://id.loc.gov/vocabulary/languages/eng	CSt	marcorg	http://id.loc.gov/vocabulary/organizations	http://id.loc.gov/vocabulary/organizations/cst	human prepared	
			Le Tyrol sous le nom duquel l'on comprend Le Comte Tyrol… Bregentz, Feldkirck, Monfort, Pludentz &c. et les Eveches de Trente et…Brixen…1753	De Vaugondy	primary	cartographic	Map	marcgt	http://id.loc.gov/vocabulary/genreFormSchemes/marcgt				1750	yes	w3cdtf						publication	Paris	cartographic image	rdacontent	http://id.loc.gov/vocabulary/contentTypes	http://id.loc.gov/vocabulary/contentTypes/cri	1 map : outline color ; 23 x 19 in	reformatted digital	image/jpeg	Finely detailed map of Tyrolia, with a large decorative title cartouche. Excellent map of the Austrian, Swiss, Italian and German Alps, extending from Lake Constance in the NW to Lago Gardo in the South, showing Innsbruck, Trente, and most of the great Austrian and Italian Alpine Ski country.	Map shows Italy, Germany, Austria.					Dimensions given in inches.	lcsh	http://id.loc.gov/authorities/subjects		geographic	Europe	lcsh	http://id.loc.gov/authorities/subjects	http://id.loc.gov/authorities/subjects/sh85045631	genre	Maps	lcsh	http://id.loc.gov/authorities/subjects	http://id.loc.gov/authorities/subjects/sh99001269																lcsh	http://id.loc.gov/authorities/subjects		geographic	Italy	naf	http://id.loc.gov/authorities/names	http://id.loc.gov/authorities/names/n79021783	genre	Maps	lcsh	http://id.loc.gov/authorities/subjects	http://id.loc.gov/authorities/subjects/sh99001269																																																																																																				Scale not determined		Other version	Available online	www.raremaps.com	http://www.raremaps.com/maps/large/1621.jpg	eng	English	marclanguage	http://id.loc.gov/vocabulary/languages	http://id.loc.gov/vocabulary/languages/eng	CSt	marcorg	http://id.loc.gov/vocabulary/organizations	http://id.loc.gov/vocabulary/organizations/cst	human prepared	
			Ober-und Mittel-Italien	Stieler	primary	cartographic	Map	marcgt	http://id.loc.gov/vocabulary/genreFormSchemes/marcgt				1883	yes	w3cdtf						publication	Gotha	cartographic image	rdacontent	http://id.loc.gov/vocabulary/contentTypes	http://id.loc.gov/vocabulary/contentTypes/cri	1 map : colored ; 16 x 13 in	reformatted digital	image/jpeg	Very detailed map of region illustrating the great precision in Stieler's work.	Map shows Italy.					Dimensions given in inches.	lcsh	http://id.loc.gov/authorities/subjects		geographic	Europe	lcsh	http://id.loc.gov/authorities/subjects	http://id.loc.gov/authorities/subjects/sh85045631	genre	Maps	lcsh	http://id.loc.gov/authorities/subjects	http://id.loc.gov/authorities/subjects/sh99001269																lcsh	http://id.loc.gov/authorities/subjects		geographic	Italy	naf	http://id.loc.gov/authorities/names	http://id.loc.gov/authorities/names/n79021783	genre	Maps	lcsh	http://id.loc.gov/authorities/subjects	http://id.loc.gov/authorities/subjects/sh99001269																																																																																																				Scale not determined		Other version	Available online	www.raremaps.com	http://www.raremaps.com/maps/large/5536.jpg	eng	English	marclanguage	http://id.loc.gov/vocabulary/languages	http://id.loc.gov/vocabulary/languages/eng	CSt	marcorg	http://id.loc.gov/vocabulary/organizations	http://id.loc.gov/vocabulary/organizations/cst	human prepared	
			Cercle D'Autriche (and northern Italy)	Bonne	primary	cartographic	Map	marcgt	http://id.loc.gov/vocabulary/genreFormSchemes/marcgt				1787	yes	w3cdtf						publication	Paris	cartographic image	rdacontent	http://id.loc.gov/vocabulary/contentTypes	http://id.loc.gov/vocabulary/contentTypes/cri	1 map : uncolored ; 13.5 x 9.5 in	reformatted digital	image/jpeg	Detailed map of Austria. From the enlarged edition of Bonne's monumental atlas. It was during this time that Rigobert Bonne held the title of Naval Hydrographer in France. Shows towns, rivers, mountains, lakes, and a number of other details. Shows Vienna, Insbruck, Venice, Tyrolia, etc.	Map shows Italy, Austria.					Dimensions given in inches.	lcsh	http://id.loc.gov/authorities/subjects		geographic	Europe	lcsh	http://id.loc.gov/authorities/subjects	http://id.loc.gov/authorities/subjects/sh85045631	genre	Maps	lcsh	http://id.loc.gov/authorities/subjects	http://id.loc.gov/authorities/subjects/sh99001269																lcsh	http://id.loc.gov/authorities/subjects		geographic	Italy	naf	http://id.loc.gov/authorities/names	http://id.loc.gov/authorities/names/n79021783	genre	Maps	lcsh	http://id.loc.gov/authorities/subjects	http://id.loc.gov/authorities/subjects/sh99001269																																																																																																				Scale not determined		Other version	Available online	www.raremaps.com	http://www.raremaps.com/maps/large/4668.jpg	eng	English	marclanguage	http://id.loc.gov/vocabulary/languages	http://id.loc.gov/vocabulary/languages/eng	CSt	marcorg	http://id.loc.gov/vocabulary/organizations	http://id.loc.gov/vocabulary/organizations/cst	human prepared	
			Ichnographia Urbis in Tuscia primariae Florentiae Scenographice . . . MDCCXXXI.	Homann Heirs	primary	cartographic	Map	marcgt	http://id.loc.gov/vocabulary/genreFormSchemes/marcgt				1731	yes	w3cdtf						publication	Nuremberg	cartographic image	rdacontent	http://id.loc.gov/vocabulary/contentTypes	http://id.loc.gov/vocabulary/contentTypes/cri	1 map : hand colored ; 23 x 20 in	reformatted digital	image/jpeg	Gorgeous plan and birdseye view of Florence, published by the Heirs of J.B. Homann in Nurmberg. The plan and view of Florence is now one of the most coveted, providing a marvelous panoramic view of the city from the hillside beyon the Arno, an elegant coat of arms held aloft by three cherubs and excellent detail in the townplan, locating over 100 places of interest. In the mid-17th Century, the Homann Heirs produced a series of town plan birdseye view combination maps of major European Cities.	Map shows Italy, Europe.					Dimensions given in inches.	lcsh	http://id.loc.gov/authorities/subjects		geographic	Europe	lcsh	http://id.loc.gov/authorities/subjects	http://id.loc.gov/authorities/subjects/sh85045631	genre	Maps	lcsh	http://id.loc.gov/authorities/subjects	http://id.loc.gov/authorities/subjects/sh99001269																lcsh	http://id.loc.gov/authorities/subjects		geographic	Italy	naf	http://id.loc.gov/authorities/names	http://id.loc.gov/authorities/names/n79021783	genre	Maps	lcsh	http://id.loc.gov/authorities/subjects	http://id.loc.gov/authorities/subjects/sh99001269																																																																																																				Scale not determined		Other version	Available online	www.raremaps.com	http://www.raremaps.com/maps/large/4733.jpg	eng	English	marclanguage	http://id.loc.gov/vocabulary/languages	http://id.loc.gov/vocabulary/languages/eng	CSt	marcorg	http://id.loc.gov/vocabulary/organizations	http://id.loc.gov/vocabulary/organizations/cst	human prepared	
			Helvetia Prima Rheni et V Nova Tabula [Switzerland]	Munster	primary	cartographic	Map	marcgt	http://id.loc.gov/vocabulary/genreFormSchemes/marcgt				1542	yes	w3cdtf						publication	Basle	cartographic image	rdacontent	http://id.loc.gov/vocabulary/contentTypes	http://id.loc.gov/vocabulary/contentTypes/cri	1 map : uncolored ; 13.5 x 10 in	reformatted digital	image/jpeg	Excellent modern map of Switerland and the Alps, with north oriented to the right. One of the earliest obtainable maps of Switzerland. The map is unchanged from the 1540 edition. Munster's Geographia was a cartographic landmark, including not only Ptolemaic maps, but also a number of landmark modern maps, including the first separate maps of the 4 continents, the first map of England and the earliest obtainable map of Scandinavia. Munster dominated cartographic publication during the mid-16th Century. Munster is generally regarded as one of the three most important map makers of the 16th Century, along with Ortelius and Mercator. Munster was a linguist and mathematician, who initially taught Hebrew in Heidelberg. He issued his first mapping of Germany in 1529, after which he issued a call geographical information about Germany to scholars throughout the country. The response was better than hoped for, and included substantial foreign material, which supplied him with up to date, if not necessarily accurate maps for the issuance of his Geographia in 1540. A fine dark impression with wide margins.	Map shows Italy, Switzerland.					Dimensions given in inches.	lcsh	http://id.loc.gov/authorities/subjects		geographic	Europe	lcsh	http://id.loc.gov/authorities/subjects	http://id.loc.gov/authorities/subjects/sh85045631	genre	Maps	lcsh	http://id.loc.gov/authorities/subjects	http://id.loc.gov/authorities/subjects/sh99001269																lcsh	http://id.loc.gov/authorities/subjects		geographic	Italy	naf	http://id.loc.gov/authorities/names	http://id.loc.gov/authorities/names/n79021783	genre	Maps	lcsh	http://id.loc.gov/authorities/subjects	http://id.loc.gov/authorities/subjects/sh99001269																																																																																																				Scale not determined		Other version	Available online	www.raremaps.com	http://www.raremaps.com/maps/large/2393.jpg	eng	English	marclanguage	http://id.loc.gov/vocabulary/languages	http://id.loc.gov/vocabulary/languages/eng	CSt	marcorg	http://id.loc.gov/vocabulary/organizations	http://id.loc.gov/vocabulary/organizations/cst	human prepared	
			Naples and Sicily from the Latest Observations… 1809 [Malta Inset]	Wilkinson	primary	cartographic	Map	marcgt	http://id.loc.gov/vocabulary/genreFormSchemes/marcgt				1809	yes	w3cdtf						publication	London	cartographic image	rdacontent	http://id.loc.gov/vocabulary/contentTypes	http://id.loc.gov/vocabulary/contentTypes/cri	1 map : hand colored ; 11.5 x 9 in	reformatted digital	image/jpeg	Excellent map of Southern Italy and Sicily extending North to Aburzzo Ultra and citra and Terra Di Lavorao and showing all of Sicily. Nice detailed inset of Malta and Goza, includes a number of place names. colored by Kingdoms. Large Key shows the various kingdoms and provincial names. Shows towns, rivers, mountains, lakes, etc. Striking original wash colors. Robert Wilkinson was active in London as a cartographic publisher from 1785 to 1825. He produced a number of nice works, including a General Atlas and a re-issuance of Bowen & Kitchen's English Atlas, along with excellent large format separate maps.	Map shows Italy.					Dimensions given in inches.	lcsh	http://id.loc.gov/authorities/subjects		geographic	Europe	lcsh	http://id.loc.gov/authorities/subjects	http://id.loc.gov/authorities/subjects/sh85045631	genre	Maps	lcsh	http://id.loc.gov/authorities/subjects	http://id.loc.gov/authorities/subjects/sh99001269																lcsh	http://id.loc.gov/authorities/subjects		geographic	Italy	naf	http://id.loc.gov/authorities/names	http://id.loc.gov/authorities/names/n79021783	genre	Maps	lcsh	http://id.loc.gov/authorities/subjects	http://id.loc.gov/authorities/subjects/sh99001269																																																																																																				Scale not determined		Other version	Available online	www.raremaps.com	http://www.raremaps.com/maps/large/5266.jpg	eng	English	marclanguage	http://id.loc.gov/vocabulary/languages	http://id.loc.gov/vocabulary/languages/eng	CSt	marcorg	http://id.loc.gov/vocabulary/organizations	http://id.loc.gov/vocabulary/organizations/cst	human prepared	
			Kingdom of Sardinia (w/inset of Island of Sardinia)	Tanner	primary	cartographic	Map	marcgt	http://id.loc.gov/vocabulary/genreFormSchemes/marcgt				1834	yes	w3cdtf						publication	Philadelphia	cartographic image	rdacontent	http://id.loc.gov/vocabulary/contentTypes	http://id.loc.gov/vocabulary/contentTypes/cri	1 map : hand colored ; 14 x 11.5 in	reformatted digital	image/jpeg		Map shows Italy.					Dimensions given in inches.	lcsh	http://id.loc.gov/authorities/subjects		geographic	Europe	lcsh	http://id.loc.gov/authorities/subjects	http://id.loc.gov/authorities/subjects/sh85045631	genre	Maps	lcsh	http://id.loc.gov/authorities/subjects	http://id.loc.gov/authorities/subjects/sh99001269																lcsh	http://id.loc.gov/authorities/subjects		geographic	Italy	naf	http://id.loc.gov/authorities/names	http://id.loc.gov/authorities/names/n79021783	genre	Maps	lcsh	http://id.loc.gov/authorities/subjects	http://id.loc.gov/authorities/subjects/sh99001269																																																																																																				Scale not determined		Other version	Available online	www.raremaps.com	http://www.raremaps.com/maps/large/6889.jpg	eng	English	marclanguage	http://id.loc.gov/vocabulary/languages	http://id.loc.gov/vocabulary/languages/eng	CSt	marcorg	http://id.loc.gov/vocabulary/organizations	http://id.loc.gov/vocabulary/organizations/cst	human prepared	
			Kingdom of Naples or The Two Sicilies	Tanner	primary	cartographic	Map	marcgt	http://id.loc.gov/vocabulary/genreFormSchemes/marcgt				1834	yes	w3cdtf						publication	Philadelphia	cartographic image	rdacontent	http://id.loc.gov/vocabulary/contentTypes	http://id.loc.gov/vocabulary/contentTypes/cri	1 map : hand colored ; 14 x 11.5 in	reformatted digital	image/jpeg	Interesting map of Naples and Sicily, divided into regions. Shows towns, rivers, roads, lakes, mountains, volcanoes, islands, bays, etc. Large inset of the Naples region. This map is from an early edition of Tanner's New Universal Atlas, first issued in 1834. The Atlas would become the most popular American Atlas between 1834 and 1860, published annually, first by Tanner and later by Mitchell, Cowperthwait, and DeSilver. Tanner's career as a mapmaker began in the early 19th Century. He had a hand in publishing many of the most important American maps of the first half of the 19th Century. His business was carried on by his son Thomas and Henry Carey and flourished until the middle of the 19th Century.	Map shows Italy.					Dimensions given in inches.	lcsh	http://id.loc.gov/authorities/subjects		geographic	Europe	lcsh	http://id.loc.gov/authorities/subjects	http://id.loc.gov/authorities/subjects/sh85045631	genre	Maps	lcsh	http://id.loc.gov/authorities/subjects	http://id.loc.gov/authorities/subjects/sh99001269																lcsh	http://id.loc.gov/authorities/subjects		geographic	Italy	naf	http://id.loc.gov/authorities/names	http://id.loc.gov/authorities/names/n79021783	genre	Maps	lcsh	http://id.loc.gov/authorities/subjects	http://id.loc.gov/authorities/subjects/sh99001269																																																																																																				Scale not determined		Other version	Available online	www.raremaps.com	http://www.raremaps.com/maps/large/6925.jpg	eng	English	marclanguage	http://id.loc.gov/vocabulary/languages	http://id.loc.gov/vocabulary/languages/eng	CSt	marcorg	http://id.loc.gov/vocabulary/organizations	http://id.loc.gov/vocabulary/organizations/cst	human prepared	
