druid	sourceId	lo:purl	ti1:title	na1:namePart	na1:usage	ty1:typeOfResource	ge1:genre	ge1:authority	ge1:authorityURI	ge2:genre	ge2:authority	ge2:authorityURI	dt:dateIssued	dt:dateIssuedKeyDate	dt:dateIssuedEncoding	dt:dateIssuedQualifier	dt:dateIssuedPoint	dt:dateIssued2	dt:dateIssued2Qualifier	dt:dateIssued2Point	or:eventType	pl:placeText	ph1:form	ph1:formAuthority	ph1:formAuthorityURI	ph1:formValueURI	ph1:extent	ph1:digitalOrigin	ph1:internetMediaType	no1:note	no2:note	no3:note	no4:note	no4:type	no4:displayLabel	no5:note	su1:authority	su1:authorityURI	su1:valueURI	su1:p1:type	su1:p1:value	su1:p1:authority	su1:p1:authorityURI	su1:p1:valueURI	su1:p2:type	su1:p2:value	su1:p2:authority	su1:p2:authorityURI	su1:p2:valueURI	su1:p3:type	su1:p3:value	su1:p3:authority	su1:p3:authorityURI	su1:p3:valueURI	su1:p4:type	su1:p4:value	su1:p4:authority	su1:p4:authorityURI	su1:p4:valueURI	su1:p5:type	su1:p5:value	su1:p5:authority	su1:p5:authorityURI	su1:p5:valueURI	su2:authority	su2:authorityURI	su2:valueURI	su2:p1:type	su2:p1:value	su2:p1:authority	su2:p1:authorityURI	su2:p1:valueURI	su2:p2:type	su2:p2:value	su2:p2:authority	su2:p2:authorityURI	su2:p2:valueURI	su2:p3:type	su2:p3:value	su2:p3:authority	su2:p3:authorityURI	su2:p3:valueURI	su2:p4:type	su2:p4:value	su2:p4:authority	su2:p4:authorityURI	su2:p4:valueURI	su2:p5:type	su2:p5:value	su2:p5:authority	su2:p5:authorityURI	su2:p5:valueURI	su3:authority	su3:authorityURI	su3:valueURI	su3:p1:type	su3:p1:value	su3:p1:authority	su3:p1:authorityURI	su3:p1:valueURI	su3:p2:type	su3:p2:value	su3:p2:authority	su3:p2:authorityURI	su3:p2:valueURI	su3:p3:type	su3:p3:value	su3:p3:authority	su3:p3:authorityURI	su3:p3:valueURI	su3:p4:type	su3:p4:value	su3:p4:authority	su3:p4:authorityURI	su3:p4:valueURI	su3:p5:type	su3:p5:value	su3:p5:authority	su3:p5:authorityURI	su3:p5:valueURI	su4:authority	su4:authorityURI	su4:valueURI	su4:p1:type	su4:p1:value	su4:p1:authority	su4:p1:authorityURI	su4:p1:valueURI	su4:p2:type	su4:p2:value	su4:p2:authority	su4:p2:authorityURI	su4:p2:valueURI	su4:p3:type	su4:p3:value	su4:p3:authority	su4:p3:authorityURI	su4:p3:valueURI	su4:p4:type	su4:p4:value	su4:p4:authority	su4:p4:authorityURI	su4:p4:valueURI	su4:p5:type	su4:p5:value	su4:p5:authority	su4:p5:authorityURI	su4:p5:valueURI	su5:authority	su5:authorityURI	su5:valueURI	su5:p1:type	su5:p1:value	su5:p1:authority	su5:p1:authorityURI	su5:p1:valueURI	su5:p2:type	su5:p2:value	su5:p2:authority	su5:p2:authorityURI	su5:p2:valueURI	su5:p3:type	su5:p3:value	su5:p3:authority	su5:p3:authorityURI	su5:p3:valueURI	su5:p4:type	su5:p4:value	su5:p4:authority	su5:p4:authorityURI	su5:p4:valueURI	su5:p5:type	su5:p5:value	su5:p5:authority	su5:p5:authorityURI	su5:p5:valueURI	sc1:scale	id1:identifier	ri1:type	ri1:displayLabel	ri1:title	ri1:url	rc:languageOfCataloging	rc:languageOfCatalogingTerm	rc:langAuthority	rc:langAuthorityURI	rc:langValueURI	rc:contentSource	rc:contentSourceAuthority	rc:contentSourceAuthorityURI	rc:contentSourceValueURI	rc:recordOrigin	
			La Principaute De Piedmont Les Marquisats, De Saluce et De Suze, Les Comptes De Nice et D'Ast Le Monterrat…	Jaillot	primary	cartographic	Map	marcgt	http://id.loc.gov/vocabulary/genreFormSchemes/marcgt				1692	yes	w3cdtf						publication	Paris	cartographic image	rdacontent	http://id.loc.gov/vocabulary/contentTypes	http://id.loc.gov/vocabulary/contentTypes/cri	1 map : hand colored ; 26 x 18 in	reformatted digital	image/jpeg	Detailed regional map, extending from Turin, Suze, Chivas and Casa to the Mediterranean, from Nice to Finale on the coast of Genoa. Extremely detailed, with marvelous topographical treatment of the mountains and rivers. Moderately toned, otherwise an excellent example.	Map shows Europe, Mediterranean, France.					Dimensions given in inches.	lcsh	http://id.loc.gov/authorities/subjects		geographic	Europe	lcsh	http://id.loc.gov/authorities/subjects	http://id.loc.gov/authorities/subjects/sh85045631	genre	Maps	lcsh	http://id.loc.gov/authorities/subjects	http://id.loc.gov/authorities/subjects/sh99001269																																																																																																																																Scale not determined		Other version	Available online	www.raremaps.com	http://www.raremaps.com/maps/large/10120.jpg	eng	English	marclanguage	http://id.loc.gov/vocabulary/languages	http://id.loc.gov/vocabulary/languages/eng	CSt	marcorg	http://id.loc.gov/vocabulary/organizations	http://id.loc.gov/vocabulary/organizations/cst	human prepared	
			Partie Orientale Du Gouvernement Genreal De La Guienne ou se trouvent Le Quercy et le Rouergue…1753	De Vaugondy	primary	cartographic	Map	marcgt	http://id.loc.gov/vocabulary/genreFormSchemes/marcgt				1753	yes	w3cdtf						publication	Paris	cartographic image	rdacontent	http://id.loc.gov/vocabulary/contentTypes	http://id.loc.gov/vocabulary/contentTypes/cri	1 map : outline color ; 20 x 19 in	reformatted digital	image/jpeg	Detailed regional map of France, centered on the Lot River. Large decorative cartouche.	Map shows Europe, France.					Dimensions given in inches.	lcsh	http://id.loc.gov/authorities/subjects		geographic	Europe	lcsh	http://id.loc.gov/authorities/subjects	http://id.loc.gov/authorities/subjects/sh85045631	genre	Maps	lcsh	http://id.loc.gov/authorities/subjects	http://id.loc.gov/authorities/subjects/sh99001269																																																																																																																																Scale not determined		Other version	Available online	www.raremaps.com	http://www.raremaps.com/maps/large/10137.jpg	eng	English	marclanguage	http://id.loc.gov/vocabulary/languages	http://id.loc.gov/vocabulary/languages/eng	CSt	marcorg	http://id.loc.gov/vocabulary/organizations	http://id.loc.gov/vocabulary/organizations/cst	human prepared	
			The North East Part of Italy, Comprising the Estates of Venice, The Dutchies of Milan, Mantua, Modena & Parma; with Part of the Estates of Genoa, From the Best Authorities	Wilkinson	primary	cartographic	Map	marcgt	http://id.loc.gov/vocabulary/genreFormSchemes/marcgt				1794	yes	w3cdtf						publication	London	cartographic image	rdacontent	http://id.loc.gov/vocabulary/contentTypes	http://id.loc.gov/vocabulary/contentTypes/cri	1 map : hand colored ; 11 x 9 in	reformatted digital	image/jpeg	Striking map of the region bounded in the north by the Italian and Maritime Alps and extending from the Gulf of Genoa to the Gulf of Venice, including Istria. Decorative compass rose. Shows towns, rivers, mountians, lakes, etc. Striking original wash colors. Rovert Wilkinson was active in London as a cartographic publisher from 1785 to 1825. He produced a number of nice works, including a Genreal Atlas and a re-issuance of Bowen & Kitchen's English Atlas, along with excellent large format separate maps.	Map shows Europe, Italy, Switzerland.					Dimensions given in inches.	lcsh	http://id.loc.gov/authorities/subjects		geographic	Europe	lcsh	http://id.loc.gov/authorities/subjects	http://id.loc.gov/authorities/subjects/sh85045631	genre	Maps	lcsh	http://id.loc.gov/authorities/subjects	http://id.loc.gov/authorities/subjects/sh99001269																																																																																																																																Scale not determined		Other version	Available online	www.raremaps.com	http://www.raremaps.com/maps/large/10138.jpg	eng	English	marclanguage	http://id.loc.gov/vocabulary/languages	http://id.loc.gov/vocabulary/languages/eng	CSt	marcorg	http://id.loc.gov/vocabulary/organizations	http://id.loc.gov/vocabulary/organizations/cst	human prepared	
			Scotland	Thomsom	primary	cartographic	Map	marcgt	http://id.loc.gov/vocabulary/genreFormSchemes/marcgt				1814	yes	w3cdtf						publication	Edinburgh	cartographic image	rdacontent	http://id.loc.gov/vocabulary/contentTypes	http://id.loc.gov/vocabulary/contentTypes/cri	1 map : hand colored ; 21 x 18 in	reformatted digital	image/jpeg	Interesting and highly detailed map of Scotland, hand colored by counties. Shows towns, roads, rivers, lakes, islands, mountians, etc. A very attracitve and interesting map. One of the best large format English maps of the period. Nice wide margined example.	Map shows Europe, British Isles.					Dimensions given in inches.	lcsh	http://id.loc.gov/authorities/subjects		geographic	Europe	lcsh	http://id.loc.gov/authorities/subjects	http://id.loc.gov/authorities/subjects/sh85045631	genre	Maps	lcsh	http://id.loc.gov/authorities/subjects	http://id.loc.gov/authorities/subjects/sh99001269																																																																																																																																Scale not determined		Other version	Available online	www.raremaps.com	http://www.raremaps.com/maps/large/10422.jpg	eng	English	marclanguage	http://id.loc.gov/vocabulary/languages	http://id.loc.gov/vocabulary/languages/eng	CSt	marcorg	http://id.loc.gov/vocabulary/organizations	http://id.loc.gov/vocabulary/organizations/cst	human prepared	
			Polonois	Mallet	primary	cartographic	Map	marcgt	http://id.loc.gov/vocabulary/genreFormSchemes/marcgt				1683	yes	w3cdtf						publication	Paris	cartographic image	rdacontent	http://id.loc.gov/vocabulary/contentTypes	http://id.loc.gov/vocabulary/contentTypes/cri	1 map : uncolored ; 6 x 4.5 in	reformatted digital	image/jpeg	Interesting early engraving showing two costumed figures. From Mallet's monumental Description de l' Univers, first published in Paris in 1683, perhaps the greatest work of its kind in the 17th Century. Complete sets of this work are now fetching in excess of $15,000.00.	Map shows Europe, Poland.					Dimensions given in inches.	lcsh	http://id.loc.gov/authorities/subjects		geographic	Europe	lcsh	http://id.loc.gov/authorities/subjects	http://id.loc.gov/authorities/subjects/sh85045631	genre	Maps	lcsh	http://id.loc.gov/authorities/subjects	http://id.loc.gov/authorities/subjects/sh99001269																																																																																																																																Scale not determined		Other version	Available online	www.raremaps.com	http://www.raremaps.com/maps/large/10516.jpg	eng	English	marclanguage	http://id.loc.gov/vocabulary/languages	http://id.loc.gov/vocabulary/languages/eng	CSt	marcorg	http://id.loc.gov/vocabulary/organizations	http://id.loc.gov/vocabulary/organizations/cst	human prepared	
			Marchionatus Moravia accurate designatus…	Seutter	primary	cartographic	Map	marcgt	http://id.loc.gov/vocabulary/genreFormSchemes/marcgt				1730	yes	w3cdtf						publication	Augsburg	cartographic image	rdacontent	http://id.loc.gov/vocabulary/contentTypes	http://id.loc.gov/vocabulary/contentTypes/cri	1 map : hand colored ; 10 x 7.5 in	reformatted digital	image/jpeg	Decorative map of Moravia, with attractive cartouche and vignette.	Map shows Europe, Czechoslovakia.					Dimensions given in inches.	lcsh	http://id.loc.gov/authorities/subjects		geographic	Europe	lcsh	http://id.loc.gov/authorities/subjects	http://id.loc.gov/authorities/subjects/sh85045631	genre	Maps	lcsh	http://id.loc.gov/authorities/subjects	http://id.loc.gov/authorities/subjects/sh99001269																																																																																																																																Scale not determined		Other version	Available online	www.raremaps.com	http://www.raremaps.com/maps/large/97128c.jpg	eng	English	marclanguage	http://id.loc.gov/vocabulary/languages	http://id.loc.gov/vocabulary/languages/eng	CSt	marcorg	http://id.loc.gov/vocabulary/organizations	http://id.loc.gov/vocabulary/organizations/cst	human prepared	
			Brabantiae Ducatus cum Adjacent: Provinc:…	Seutter	primary	cartographic	Map	marcgt	http://id.loc.gov/vocabulary/genreFormSchemes/marcgt				1730	yes	w3cdtf						publication	Augsburg	cartographic image	rdacontent	http://id.loc.gov/vocabulary/contentTypes	http://id.loc.gov/vocabulary/contentTypes/cri	1 map : hand colored ; 7.5x10 in	reformatted digital	image/jpeg	Decorative map of Belgium and the southern Netherlands, showing Breda, Willemstat, Antwerp, Liege, Brussels, Bruge, Maastricht, etc. Decorative cartouche.	Map shows Europe, Belgium, Netherlands.					Dimensions given in inches.	lcsh	http://id.loc.gov/authorities/subjects		geographic	Europe	lcsh	http://id.loc.gov/authorities/subjects	http://id.loc.gov/authorities/subjects/sh85045631	genre	Maps	lcsh	http://id.loc.gov/authorities/subjects	http://id.loc.gov/authorities/subjects/sh99001269																																																																																																																																Scale not determined		Other version	Available online	www.raremaps.com	http://www.raremaps.com/maps/large/97128d.jpg	eng	English	marclanguage	http://id.loc.gov/vocabulary/languages	http://id.loc.gov/vocabulary/languages/eng	CSt	marcorg	http://id.loc.gov/vocabulary/organizations	http://id.loc.gov/vocabulary/organizations/cst	human prepared	
			An Accurate Map of Europe from the best Authorities	Dilly & Robinson	primary	cartographic	Map	marcgt	http://id.loc.gov/vocabulary/genreFormSchemes/marcgt				1785	yes	w3cdtf						publication	London	cartographic image	rdacontent	http://id.loc.gov/vocabulary/contentTypes	http://id.loc.gov/vocabulary/contentTypes/cri	1 map : hand colored ; 14.5 x 14.5 in	reformatted digital	image/jpeg		Map shows Europe.					Dimensions given in inches.	lcsh	http://id.loc.gov/authorities/subjects		geographic	Europe	lcsh	http://id.loc.gov/authorities/subjects	http://id.loc.gov/authorities/subjects/sh85045631	genre	Maps	lcsh	http://id.loc.gov/authorities/subjects	http://id.loc.gov/authorities/subjects/sh99001269																																																																																																																																Scale not determined		Other version	Available online	www.raremaps.com	http://www.raremaps.com/maps/large/16312a.jpg	eng	English	marclanguage	http://id.loc.gov/vocabulary/languages	http://id.loc.gov/vocabulary/languages/eng	CSt	marcorg	http://id.loc.gov/vocabulary/organizations	http://id.loc.gov/vocabulary/organizations/cst	human prepared	
			(Europe & the North part of Africa -- Untitled Globe Gores)	Endersch	primary	cartographic	Map	marcgt	http://id.loc.gov/vocabulary/genreFormSchemes/marcgt				1751 ca	yes	w3cdtf						publication	Elbing	cartographic image	rdacontent	http://id.loc.gov/vocabulary/contentTypes	http://id.loc.gov/vocabulary/contentTypes/cri	1 map : uncolored ; 17 x 14 in	reformatted digital	image/jpeg	Finely engrave set of globe gores covering Europe and the North part of Africa, from an unrecorded mid-18th Century Globe. In August 2012, we were advised of a similar set of gores at the University of Vilnius, engraved by Johann Friedrich Endersch, Royal Geographer to King Augustus III of Poland. Johann Friedrich Endersch (1705-1769) was a famous German cartographer and mathematician. Endersch was born in Dornfeld in Thuringia and had spent most of his life in Elblag in Royal Prussia, Poland. Johann Friedrich Endersch got the title of Royal Mathematician from Augustus III of Poland. We have dated the map based upon the note in this plate identifying Alof Kramer's discovery of Kraemer Banks in 1751, which as later debunked in the ealry 19th Century by Captain Ross and others. Among other noteworthy features, the Black sea is shown with a current flowing from the Dniepr River and Danube River, the first time we have seen such a current chart in the Black Sea. This set of gores was acquired in a set of 8 (of 12) gores, which when joined would have made a 67cm diameter terrestrial globe. There is no attribution and, to date, it would appear that the gores are from an unrecorded Globe, for which no known complete examples of the globe or gores survive. Based upon information on several of the gores, the publication can be reliably tracked to 1751 or shortly therafter. The gores acquired covered (1) Europe up to the Black Sea, (2) 2 sheets covering Africa (with numerous animals and figures of Africans), (3) Asia east of Siam/Indonesia, (4) Australian, (5) New Zealand, (6) 2 sheets covering North and Central America (with Hudson Bay, Great Lakes, peninsular California) as well as northern part of South America, and part of Greenland and Iceland. Printed on paper with watermark HB with cross.	Map shows Europe, Mediterranean, Scandinavia, Russia, Spain, Iceland, Ukraine, Africa, West Africa, North Africa, East Africa, African , Egypt.					Dimensions given in inches.	lcsh	http://id.loc.gov/authorities/subjects		geographic	Europe	lcsh	http://id.loc.gov/authorities/subjects	http://id.loc.gov/authorities/subjects/sh85045631	genre	Maps	lcsh	http://id.loc.gov/authorities/subjects	http://id.loc.gov/authorities/subjects/sh99001269																																																																																																																																Scale not determined		Other version	Available online	www.raremaps.com	http://www.raremaps.com/maps/large/29159.jpg	eng	English	marclanguage	http://id.loc.gov/vocabulary/languages	http://id.loc.gov/vocabulary/languages/eng	CSt	marcorg	http://id.loc.gov/vocabulary/organizations	http://id.loc.gov/vocabulary/organizations/cst	human prepared	
			Carte De La Russie D'Europe…1830	Lapie	primary	cartographic	Map	marcgt	http://id.loc.gov/vocabulary/genreFormSchemes/marcgt				1830	yes	w3cdtf						publication	Paris	cartographic image	rdacontent	http://id.loc.gov/vocabulary/contentTypes	http://id.loc.gov/vocabulary/contentTypes/cri	1 map : outline color ; 15.5 x 21 in	reformatted digital	image/jpeg	Detailed map of Russia, divided into Kingdoms, showing towns, rivers, mountains, lakes, roads, et cetera.	Map shows Europe, Russia.					Dimensions given in inches.	lcsh	http://id.loc.gov/authorities/subjects		geographic	Europe	lcsh	http://id.loc.gov/authorities/subjects	http://id.loc.gov/authorities/subjects/sh85045631	genre	Maps	lcsh	http://id.loc.gov/authorities/subjects	http://id.loc.gov/authorities/subjects/sh99001269																																																																																																																																Scale not determined		Other version	Available online	www.raremaps.com	http://www.raremaps.com/maps/large/0230.jpg	eng	English	marclanguage	http://id.loc.gov/vocabulary/languages	http://id.loc.gov/vocabulary/languages/eng	CSt	marcorg	http://id.loc.gov/vocabulary/organizations	http://id.loc.gov/vocabulary/organizations/cst	human prepared	
